#1. Do you use software in your research?,3. Have you had formal training in software development?,4. Which of these is more common in your work?,5. Select any of these that you use regularly to write code for your research.,6. What is your field of research?,7. What is your career stage?,8. My institution is located in:,9. Please share any other comments you may have on the topic.
use,training,own,software,field,career,location
Yes,No,Others,Fortran Excel or other spreadsheet,Observational,Adjunct Professor,United States of America
Yes,No,Others,Excel or other spreadsheet,Planetary,almost retired,United States of America
Yes,No,Between,Python C Fortran Shell Scripting sm or supermongo Excel or other spreadsheet,Observational,Astronomer at national observatory,United States of America
Yes,Yes,Between,Python C Javascript Java SQL HTML/CSS C++,Observational,Astronomical software engineer,Germany
Yes,No,Between,IRAF Python C Java,Observational Theory,Director,United Kingdom
Yes,No,Between,IDL Fortran Shell Scripting,Theory,emeritus faculty,United States of America
Yes,No,Between,IDL,Observational,Emeritus Faculty,United States of America
Yes,Little,Between,IRAF Fortran Shell Scripting Excel or other spreadsheet,Observational,Emeritus faculty,United Kingdom
Yes,No,Between,Excel or other spreadsheet LabVIEW,Instrumentation,Engineer,Canada
Yes,Little,Between,Python,Observational Instrumentation Planetary Other,Engineer,United States of America
Yes,No,Own,Python,Observational,Faculty,United States of America
Yes,No,Own,Python Shell Scripting C++,Observational,Faculty,United States of America
Yes,No,Between,Python,Theory,Faculty,United States of America
Yes,No,Between,IDL C Fortran Excel or other spreadsheet,Theory,Faculty,United States of America
Yes,No,Between,IDL IRAF Python,Observational,Faculty,United States of America
Yes,No,Others,Fortran Shell Scripting Excel or other spreadsheet,Observational,Faculty,Australia
Yes,No,Own,IRAF Python Matlab Shell Scripting Excel or other spreadsheet Difmap aips casa,Observational Instrumentation,Faculty,Chile
Yes,No,Between,IDL IRAF Shell Scripting,Observational,Faculty,Chile
Yes,No,Own,Python C Shell Scripting HTML/CSS C++,Observational Instrumentation,Faculty,Germany
Yes,No,Between,C SQL Shell Scripting HTML/CSS sm or supermongo,Observational,Faculty,Germany
Yes,No,Between,IRAF Python Fortran Shell Scripting Figaro,Observational,Faculty,Australia
Yes,No,Between,IRAF Fortran sm or supermongo,Observational Theory,Faculty,United States of America
Yes,No,Own,IDL Fortran Shell Scripting sm or supermongo,Theory phenomenology,Faculty,United States of America
Yes,No,Between,IDL IRAF Python SQL,Observational,Faculty,United States of America
Yes,No,Own,Python C Perl Shell Scripting,Observational,Faculty,France
Yes,No,Own,IDL Python Fortran,Observational Instrumentation,Faculty,United States of America
Yes,No,Others,Fortran Figaro HTML/CSS sm or supermongo Excel or other spreadsheet,Observational,Faculty,United States of America
Yes,No,Own,Fortran sm or supermongo,Theory,Faculty,United States of America
Yes,No,Own,IDL Python Shell Scripting,Observational,Faculty,United States of America
Yes,No,Own,Fortran,Theory,Faculty,United States of America
Yes,No,Own,Fortran sm or supermongo,Theory,Faculty,United States of America
Yes,No,Between,IDL,Theory,Faculty,United States of America
Yes,No,Own,IDL Python C Shell Scripting HTML/CSS,Theory,Faculty,United States of America
Yes,No,Between,IDL IRAF,Observational Instrumentation,Faculty,United States of America
Yes,No,Between,IDL Python C,Theory,Faculty,United States of America
Yes,No,Between,Python C HTML/CSS,Observational Theory,Faculty,United Kingdom
Yes,No,Between,IDL Python C Perl Shell Scripting,Observational Theory,Faculty,United States of America
