career,comment
Post-bac,
Research scientist,
Research scientist,
Postdoc,
Faculty,
Graduate student,
Graduate student,
Graduate student,
Faculty,I would love to see the results of this survey!
Faculty,
Faculty,
Faculty,
Graduate student,
Graduate student,
Graduate student,
Graduate student,
Graduate student,
Graduate student,
IT at observatory,
Faculty,
Postdoc,
Postdoc,
Postdoc,
Postdoc,
Research scientist,
Postdoc,
Research scientist,
Graduate student,
Graduate student,
Graduate student,
Faculty,
Research scientist,
Graduate student,Great survey! I hope this knowledge gets put to good use :)
Faculty,
Graduate student,
Postdoc,
Graduate student,
Postdoc,
Postdoc,
Postdoc,
Faculty,
Graduate student,
Postdoc,
Postdoc,
Postdoc,
Faculty,
Graduate student,
Faculty,
Graduate student,
Graduate student,
Postdoc,
Research scientist,
Faculty,
Graduate student,
Faculty,
Research scientist,
Faculty,
Graduate student,
Postdoc,
Faculty,
Faculty,Don't mind me. I'm a dinosaur.
Faculty,
Postdoc,
Postdoc,
Postdoc,
Graduate student,
Graduate student,
Graduate student,
Undergraduate student,
Research scientist,
Postdoc,
Graduate student,
Graduate student,
Graduate student,
Graduate student,
Postdoc,
Postdoc,
Graduate student,
Graduate student,
Postdoc,
Astronomical software engineer,In my experience on three large telescope projects the technologies chosen (languages libraries tools etc) have been very old fashioned (e.g. C Perl ds9 etc). We are now only just catching up with tools I used in industry more than ten years ago. I believe this to be a major cause of major inefficiently in astronomical software development.
Postdoc,
Research scientist,
Postdoc,"Not really sure what counts as ""a lot"" of software development training. Took 1.5 years of CS courses at the start of my undergraduate degree along with a lot of exposure to implementing numerical methods in applied maths. But little to no training since undergrad; all self-taught (notably in Fortran which I now use regularly)."
Graduate student,
Faculty,I'm intending to try out Python soon.
Postdoc,
unemployed postdoc,Funding agencies regularly justify PhD student training on the basis that graduates are capable programmers. I therefore find it ridiculous that PhD students receive no actual training in programming whatsoever and are expected to learn by osmosis and/or fixing up some ancient Fortran code.
Postdoc,
Faculty,
Faculty,
Postdoc,
Research scientist,
Graduate student,
Research scientist,
Graduate student,
Graduate student,
Faculty,
Postdoc,
Faculty,"At this stage of my career most of the serious coding is done by my graduate students or postdocs.  I was at the cutting edge of the field long ago but my knowledge and skill s haven't kept up.  At some level that doesn't matter so much provided I have capable collaborators.  However it would certainly be useful to have good ideas on practice and high-performance computing techniques so that I can advise my students better.  The general point here is that needs of senior faculty are rather different from those of junior researchers.  The other obvious point relevant to everyone is that it's hard to carve out time for learning about software practices in the abstract which is why we all tend to do what we can to ""teach ourselves on the fly"" with whatever resources we can come up with.  The time-cost to benefit ratio is different for researchers at different career stages."
Postdoc,
Graduate student,
Postdoc,
Research scientist,
Graduate student,
Graduate student,
Graduate student,
Research scientist,
Postdoc,
Postdoc,
Postdoc,
Graduate student,
Faculty,
Postdoc,
Research scientist,If you also want to know what code I use not write it is C Python Matlab IRAF.
Postdoc,
Postdoc,
Graduate student,
Research scientist,I share (and document and maintain) all of the analysis code I write and have users all over the world.
Postdoc,
Research scientist,
Faculty,
Faculty,
Faculty,
Research scientist,use AIPS MIRIAD and astroimage J
Postdoc,
Graduate student,
Postdoc,
Graduate student,
Graduate student,
Research scientist,
Research scientist,
Graduate student,
Postdoc,
Postdoc,
Postdoc,
Faculty,
Graduate student,
Faculty,
Postdoc,Mercurial is my VC of choice though I'm comfortable using git when I have to.
Graduate student,
Faculty,
Faculty,
Postdoc,
Faculty,I once used Figaro and sm a lot but that was in 1990s.
Graduate student,
Graduate student,
Research scientist,
Faculty,
Research scientist,
Graduate student,
Faculty,
Postdoc,
Faculty,
Graduate student,
Faculty,
Postdoc,
Graduate student,
Postdoc,
Research scientist,
Postdoc,
Postdoc,I <3 Ruby
Graduate student,
Postdoc,
Postdoc,
Graduate student,
Research scientist,
Faculty,
Faculty,
Faculty,
Graduate student,Formal training on astronomical software packages as part of my astronomy undergraduate degree would have been very helpful for me.
Graduate student,More formal training in software use/development would be wonderful.
Postdoc,
Postdoc,
Graduate student,
Postdoc,
Research scientist,
Research scientist,
Faculty,The initiative of community based projects like astropysics are worth every cent sweat and tear! Congratulations to everyone involved in making astrophysics research more enjoyable and more productive.
Graduate student,
Graduate student,
Graduate student,
Graduate student,
Postdoc,
Postdoc,
Faculty,
Faculty,
Postdoc,
Graduate student,
Postdoc,
Graduate student,I think it should be strongly recommended that people going into Astronomy should take programming classes. In fact I would make it part of the required course work to get a B.S. in Physics or Astronomy.Most astronomers I know did not take any formal programming course we learned as we went along. Most of us write our own code and many do not use good coding practices making reading or adapting code from other Astronomers a lot more painful than it should be.
Postdoc,Many astronomers (including myself) use ancient codes and data reduction software (IRAF MIDAS IDL) that are not easily portable to 21st century computer platforms. National observatories and funding agencies need to invest either in maintenance of these ancient codes or in redevelopment of common data reduction and analysis software. I consider this a severe bottleneck in the productivity of the astronomical community at large.
Postdoc,
Postdoc,
Faculty,
Graduate student,Double major in Physics and Computational Science for my Bachelor's.
Graduate student,
Research scientist,
Graduate student,
Graduate student,
Graduate student,
Graduate student,
Postdoc,
Postdoc,
Postdoc,I learned IDL as an undergrad (class of 2004) and used it nearly exclusively for data reduction plotting and analysis until about two years ago. Over the last two years I've been slowly switching to Python for most plotting and analysis and some data reduction; some of my data reduction software is entrenched enough in IDL that it's unlikely I'll leave IDL behind entirely as long as I use data from that telescope.
Postdoc,
Graduate student,
